age,diameter,prob,calc,,
80,3.3,0.000754864,0.000572656,,
80,3.4,0.000572656,0.000572656,,
80,3.5,0.000572656,0.000650745,,
80,3.6,0.000650745,0.000572656,,
80,3.7,0.000572656,0.000585671,,
80,3.8,0.000429492,0.000429492,,
80,3.9,0.000520596,0.000520596,,
80,4,0.000442507,0.000442507,,
80,4.1,0.000260298,0.000260298,,
80,4.2,0.000416477,0.000416477,,
80,4.3,0.000364417,0.000364417,,
80,4.4,0.000247283,0.000247283,,
80,4.5,0.000156179,0.000156179,,
80,4.6,0.000169194,0.000169194,,
80,4.7,0.000234268,0.000234268,,
80,4.8,0.000234268,0.000234268,,
80,4.9,0.000234268,0.000234268,,
80,5,0.000247283,0.000247283,,
80,5.1,0.000221253,0.000221253,,
80,5.2,0.000169194,0.000169194,,
80,5.3,0.000104119,0.000104119,,
80,5.4,7.81E-05,7.80894E-05,,
81,3,0.000481551,0.000481551,,
81,3.1,0.000520596,0.000520596,,
81,3.2,0.000754864,0.000754864,,
81,3.3,0.000754864,0.000572656,,
81,3.4,0.000572656,0.000572656,,
81,3.5,0.000572656,0.000650745,,
81,3.6,0.000650745,0.000572656,,
81,3.7,0.000572656,0.000585671,,
81,3.8,0.000429492,0.000429492,,
81,3.9,0.000520596,0.000520596,,
81,4,0.000442507,0.000442507,,
81,4.1,0.000260298,0.000260298,,
81,4.2,0.000416477,0.000416477,,
81,4.3,0.000364417,0.000364417,,
81,4.4,0.000247283,0.000247283,,
81,4.5,0.000156179,0.000156179,,
81,4.6,0.000169194,0.000169194,,
81,4.7,0.000234268,0.000234268,,
81,4.8,0.000234268,0.000234268,,
81,4.9,0.000234268,0.000234268,,
81,5,0.000247283,0.000247283,,
81,5.1,0.000221253,0.000221253,,
81,5.2,0.000169194,0.000169194,,
81,5.3,0.000104119,0.000104119,,
81,5.4,7.81E-05,7.80894E-05,,
82,3,0.000481551,0.000481551,,
82,3.1,0.000520596,0.000520596,,
82,3.2,0.000754864,0.000754864,,
82,3.3,0.000754864,0.000572656,,
82,3.4,0.000572656,0.000572656,,
